Locality,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,Dist,Train,Tram,Group,Pré,Pan,Pós,Transport,Train,Tram,Bouth
MALVERN,1508500,1946000,2230000,2332000,2750000,2661000,2570000,2865000,3001000,2935000,3000000,7,Sim,Sim,Inner city,-6.55%,16.77%,-0.03%,Train and Tram,1,1,1
MALVERN EAST,1200000,1380000,1610000,1729000,1824000,1900000,1789000,1895000,2112500,2282500,2175000,9,Sim,Sim,Inner city,-1.92%,18.08%,2.96%,Train and Tram,1,1,1
MAMBOURIN,-,-,-,-,-,-,-,329500,597500,641000,635000,38,Não,Não,Outer ring,#VALUE!,#VALUE!,6.28%,None,0,0,0
MANIFOLD HEIGHTS,532500,489000,489500,620000,721500,785500,715000,825000,924500,1087500,1050000,Regional Victoria,#N/A,#N/A,Regional Victoria,-0.90%,29.30%,13.57%,#N/A,#N/A,#N/A,#N/A
MANOR LAKES,340500,360000,385000,417500,490000,526000,533000,570000,595500,645000,645000,32,Não,Não,Outer ring,8.78%,11.73%,8.31%,None,0,0,0
MANSFIELD,364000,347000,367500,359000,385000,430000,452500,510000,640000,732500,786000,Regional Victoria,#N/A,#N/A,Regional Victoria,17.53%,41.44%,22.81%,#N/A,#N/A,#N/A,#N/A
MARIBYRNONG,714000,750500,837500,940000,1056000,1050000,961500,936500,1165000,1170000,1130000,7,Não,Sim,Inner city,-8.95%,21.16%,-3.00%,Tram only,0,1,0
MARLO,295000,285000,335500,305000,432500,385000,355000,405000,435000,686000,655000,Regional Victoria,#N/A,#N/A,Regional Victoria,-17.92%,22.54%,50.57%,#N/A,#N/A,#N/A,#N/A
MARONG,310000,345000,364000,330000,348000,365000,420000,465000,560000,650000,622500,Regional Victoria,#N/A,#N/A,Regional Victoria,20.69%,33.33%,11.16%,#N/A,#N/A,#N/A,#N/A
MARSHALL,360000,382500,377000,400000,430000,468000,486500,510000,600000,682000,610000,Regional Victoria,#N/A,#N/A,Regional Victoria,13.14%,23.33%,1.67%,#N/A,#N/A,#N/A,#N/A
MARYBOROUGH,194000,200000,192500,206500,194000,229500,236000,269500,341500,393000,399500,Regional Victoria,#N/A,#N/A,Regional Victoria,21.65%,44.70%,16.98%,#N/A,#N/A,#N/A,#N/A
MARYSVILLE,180000,125000,320000,332500,383000,477500,462500,475000,675000,755000,692500,Regional Victoria,#N/A,#N/A,Regional Victoria,20.76%,45.95%,2.59%,#N/A,#N/A,#N/A,#N/A
MCCRAE,530000,535000,597500,689000,775000,847500,795000,952500,1200000,1285000,1312500,70,Não,Não,Fringe,2.58%,50.94%,9.38%,None,0,0,0
MCKENZIE HILL,397000,140000,429500,475000,471500,495000,536500,544500,700000,755000,833000,Regional Victoria,#N/A,#N/A,Regional Victoria,13.79%,30.48%,19.00%,#N/A,#N/A,#N/A,#N/A
MCKINNON,1025000,1220000,1500000,1657500,1720000,1555000,1520500,1675000,2010000,1994000,2000000,13,Sim,Não,Inner suburbs,-11.60%,32.19%,-0.50%,Train only,1,0,0
MEADOW HEIGHTS,317000,322500,350500,370000,451000,510000,474000,499000,557500,580000,561000,20,Não,Não,Inner suburbs,5.10%,17.62%,0.63%,None,0,0,0
MELTON,245000,240000,255000,280500,369000,415000,385000,390000,455000,500000,470500,35,Não,Não,Outer ring,4.34%,18.18%,3.41%,None,0,0,0
MELTON SOUTH,230000,238000,260000,276000,377000,417000,390000,420000,460000,515000,495000,37,Não,Não,Outer ring,3.45%,17.95%,7.61%,None,0,0,0
MELTON WEST,285500,290000,295000,330000,409000,453000,428000,470000,515000,551000,550000,36,Não,Não,Outer ring,4.65%,20.33%,6.80%,None,0,0,0
MENTONE,705000,810000,950000,982500,1097500,1080000,1031000,1050000,1367500,1475000,1337500,22,Sim,Não,Middle ring,-6.06%,32.64%,-2.19%,Train only,1,0,0
MENZIES CREEK,515000,428000,580000,597000,640000,760000,682500,745000,1020000,960000,876500,40,Não,Não,Outer ring,6.64%,49.45%,-14.07%,None,0,0,0
MERBEIN,140500,167000,180000,170000,183500,180000,210000,201500,227500,320000,300000,Regional Victoria,#N/A,#N/A,Regional Victoria,14.44%,8.33%,31.87%,#N/A,#N/A,#N/A,#N/A
MERINDA PARK,310000,310000,345000,385000,471500,523000,476000,527500,615000,657500,626000,41,Sim,Não,Fringe,0.95%,29.20%,1.79%,Train only,1,0,0
MERNDA,375000,370000,410000,430000,525000,573500,552000,570000,670000,680000,670000,28,Sim,Não,Middle ring,5.14%,21.38%,0.00%,Train only,1,0,0
MERRIGUM,160500,149000,209500,164500,160000,190000,270000,179000,255000,266500,272500,Regional Victoria,#N/A,#N/A,Regional Victoria,68.75%,-5.56%,6.86%,#N/A,#N/A,#N/A,#N/A
METUNG,337500,287500,299000,360000,347500,371500,455000,480000,517500,747500,771000,Regional Victoria,#N/A,#N/A,Regional Victoria,30.94%,13.74%,48.99%,#N/A,#N/A,#N/A,#N/A
MICKLEHAM,213000,168000,390000,437000,500000,520000,525000,565000,623000,680000,680000,28,Não,Não,Middle ring,5.00%,18.67%,9.15%,None,0,0,0
MIDDLE PARK,1587500,2125000,2317000,2238500,2390000,2685000,2775000,2680000,2864000,2750000,2473000,3,Não,Sim,Inner city,16.11%,3.21%,-13.65%,Tram only,0,1,0
MILDURA,225500,245000,252000,260000,264000,281500,310000,337000,380000,425000,436000,Regional Victoria,#N/A,#N/A,Regional Victoria,17.42%,22.58%,14.74%,#N/A,#N/A,#N/A,#N/A
MILL PARK,408000,430500,480000,560000,668500,657000,654000,690000,754500,786000,780000,20,Não,Não,Inner suburbs,-2.17%,15.37%,3.38%,None,0,0,0
MILLGROVE,245000,260000,275000,293500,343000,411000,415000,425000,540000,600000,564000,Regional Victoria,#N/A,#N/A,Regional Victoria,20.99%,30.12%,4.44%,#N/A,#N/A,#N/A,#N/A
MINERS REST,330000,327500,335000,334000,370000,400000,427500,440000,530000,599500,590000,Regional Victoria,#N/A,#N/A,Regional Victoria,15.54%,23.98%,11.32%,#N/A,#N/A,#N/A,#N/A
MINYIP,73500,95000,93000,82500,94000,81000,114500,75000,151500,155000,164500,Regional Victoria,#N/A,#N/A,Regional Victoria,21.81%,32.31%,8.58%,#N/A,#N/A,#N/A,#N/A
MIRBOO NORTH,265000,250000,262000,275000,264000,307500,327500,376000,475000,565000,560000,Regional Victoria,#N/A,#N/A,Regional Victoria,24.05%,45.04%,17.89%,#N/A,#N/A,#N/A,#N/A
MITCHAM,650000,730000,885500,941000,1070000,998000,942000,1066500,1212500,1200000,1210000,21,Sim,Não,Middle ring,-11.96%,28.72%,-0.21%,Train only,1,0,0
MITCHELL PARK,267000,267500,260000,259000,263000,304500,313000,330000,400000,486500,462500,Regional Victoria,#N/A,#N/A,Regional Victoria,19.01%,27.80%,15.63%,#N/A,#N/A,#N/A,#N/A
MOE,155000,170000,162500,173000,175000,200000,210000,250000,315000,370000,365000,Regional Victoria,#N/A,#N/A,Regional Victoria,20.00%,50.00%,15.87%,#N/A,#N/A,#N/A,#N/A
MONBULK,395000,425000,471500,521500,608000,650000,630000,650000,790000,799000,770000,Regional Victoria,#N/A,#N/A,Regional Victoria,3.62%,25.40%,-2.53%,#N/A,#N/A,#N/A,#N/A
MONT ALBERT,1316000,1490000,1863000,1921000,2100000,1990000,1690000,2170000,2372500,2320000,2384000,12,Sim,Não,Inner suburbs,-19.52%,40.38%,0.48%,Train only,1,0,0
MONT ALBERT NORTH,995000,1100000,1400000,1490000,1565000,1460000,1380000,1437000,1580000,1643000,1715000,12,Não,Não,Inner suburbs,-11.82%,14.49%,8.54%,None,0,0,0
MONTMORENCY,570000,614000,732000,780500,890000,926000,860000,913000,1162000,1110000,1120000,19,Sim,Não,Inner suburbs,-3.37%,35.12%,-3.61%,Train only,1,0,0
MONTROSE,445000,476500,559000,625000,700500,737500,707500,730000,842500,913500,846000,34,Não,Não,Outer ring,1.00%,19.08%,0.42%,None,0,0,0
MOONEE PONDS,830500,920000,1006000,1110500,1310000,1360000,1300000,1290000,1545000,1582500,1527500,6,Não,Sim,Inner city,-0.76%,18.85%,-1.13%,Tram only,0,1,0
MOORABBIN,682000,768000,855000,980000,1160000,1130000,1065000,1075000,1400000,1391500,1300000,16,Sim,Não,Inner suburbs,-8.19%,31.46%,-7.14%,Train only,1,0,0
MOOROOLBARK,440000,465000,558500,620000,725000,720000,670000,720000,836000,870000,821000,32,Sim,Não,Outer ring,-7.59%,24.78%,-1.79%,Train only,1,0,0
MOOROOPNA,207500,215000,230000,215500,225000,230000,247500,268500,335000,385000,377500,Regional Victoria,#N/A,#N/A,Regional Victoria,10.00%,35.35%,12.69%,#N/A,#N/A,#N/A,#N/A
MORDIALLOC,680000,755000,850000,933000,1120000,1046500,1017500,1089000,1375000,1296500,1385000,24,Sim,Não,Middle ring,-9.15%,35.14%,0.73%,Train only,1,0,0
MORNINGTON,525000,558000,641000,745000,800000,850000,810000,894000,1100000,1160000,1069500,58,Não,Não,Fringe,1.25%,35.80%,-2.77%,None,0,0,0
MORTLAKE,129500,152500,120000,152000,170000,165000,164000,220000,290500,327500,349000,Regional Victoria,#N/A,#N/A,Regional Victoria,-3.53%,77.13%,20.14%,#N/A,#N/A,#N/A,#N/A
MORWELL,160000,150000,151000,153000,170000,167000,179000,200000,275000,325000,334500,Regional Victoria,#N/A,#N/A,Regional Victoria,5.29%,53.63%,21.64%,#N/A,#N/A,#N/A,#N/A
MOUNT BEAUTY,180000,200000,189500,183000,258000,267500,295000,330000,446000,572500,531500,Regional Victoria,#N/A,#N/A,Regional Victoria,14.34%,51.19%,19.17%,#N/A,#N/A,#N/A,#N/A
MOUNT CLEAR,286000,288000,322500,345000,345000,379000,396500,414000,505000,515000,525000,Regional Victoria,#N/A,#N/A,Regional Victoria,14.93%,27.36%,3.96%,#N/A,#N/A,#N/A,#N/A
MOUNT COTTRELL,-,1800000,1800000,1800000,1800000,1800000,927500,927500,540000,622000,602000,30,Não,Não,Middle ring,-48.47%,-41.78%,11.48%,None,0,0,0
MOUNT DANDENONG,450000,610000,612500,641000,847000,647500,690000,791000,850000,1045000,887500,36,Não,Não,Outer ring,-18.54%,23.19%,4.41%,None,0,0,0
MOUNT DUNEED,286000,532000,545000,425000,497500,555000,557000,593000,696000,750000,720000,Regional Victoria,#N/A,#N/A,Regional Victoria,11.96%,24.96%,3.45%,#N/A,#N/A,#N/A,#N/A
MOUNT ELIZA,750000,777500,832000,950000,1137500,1220000,1180000,1313000,1700000,1730500,1700000,50,Não,Não,Fringe,3.74%,44.07%,0.00%,None,0,0,0
MOUNT EVELYN,406000,428500,493500,551000,640000,671500,636000,710000,820000,877500,830000,37,Não,Não,Outer ring,-0.63%,28.93%,1.22%,None,0,0,0
MOUNT HELEN,344000,368000,342000,355000,376000,420000,417000,472500,610000,632500,580000,Regional Victoria,#N/A,#N/A,Regional Victoria,10.90%,46.28%,-4.92%,#N/A,#N/A,#N/A,#N/A
MOUNT MACEDON,662500,600000,635000,750000,665000,859000,775000,1043000,1623500,1330000,1446000,Regional Victoria,#N/A,#N/A,Regional Victoria,16.54%,109.48%,-10.93%,#N/A,#N/A,#N/A,#N/A
MOUNT MARTHA,730000,745000,785000,965000,1050000,1202500,1262500,1420000,1845000,1880000,1820000,62,Não,Não,Fringe,20.24%,46.14%,-1.36%,None,0,0,0
MOUNT PLEASANT,276500,269500,293500,297500,293000,350000,377500,415000,498000,530000,497500,Regional Victoria,#N/A,#N/A,Regional Victoria,28.84%,31.92%,-0.10%,#N/A,#N/A,#N/A,#N/A
MOUNT WAVERLEY,820000,950000,1267500,1265000,1416000,1320000,1270500,1300000,1511000,1509000,1600000,18,Sim,Não,Inner suburbs,-10.28%,18.93%,5.89%,Train only,1,0,0
MULGRAVE,577500,627000,765500,786000,900500,860000,840000,850000,1000000,996000,1040000,22,Não,Não,Middle ring,-6.72%,19.05%,4.00%,None,0,0,0
MURCHISON,186000,155000,165000,187000,254500,225000,244500,291500,400000,450000,340000,Regional Victoria,#N/A,#N/A,Regional Victoria,-3.93%,63.60%,-15.00%,#N/A,#N/A,#N/A,#N/A
MURRUMBEENA,870000,982500,1204000,1286000,1420000,1343500,1241500,1405000,1695000,1670000,1641500,12,Sim,Não,Inner suburbs,-12.57%,36.53%,-3.16%,Train only,1,0,0
MURTOA,95000,110000,91000,97500,115000,110000,119000,130000,145000,244500,267500,Regional Victoria,#N/A,#N/A,Regional Victoria,3.48%,21.85%,84.48%,#N/A,#N/A,#N/A,#N/A
MYRTLEFORD,220000,245000,242000,270500,265000,295000,325000,385000,530000,609000,590000,Regional Victoria,#N/A,#N/A,Regional Victoria,22.64%,63.08%,11.32%,#N/A,#N/A,#N/A,#N/A
NAGAMBIE,312500,378000,360500,336000,330000,385000,414000,460000,545000,655000,660000,Regional Victoria,#N/A,#N/A,Regional Victoria,25.45%,31.64%,21.10%,#N/A,#N/A,#N/A,#N/A
NARRE WARREN,370000,386000,430000,487000,590000,614000,587000,610000,700000,740000,727000,42,Sim,Não,Fringe,-0.51%,19.25%,3.86%,Train only,1,0,0
NARRE WARREN NORTH,680000,822500,771500,900000,1108000,1180000,1070000,1167500,1421500,1600000,1565000,40,Não,Não,Outer ring,-3.43%,32.85%,10.09%,None,0,0,0
NARRE WARREN SOUTH,410000,440000,476000,530000,620000,636500,625000,660000,750000,802500,820000,44,Não,Não,Fringe,0.81%,20.00%,9.33%,None,0,0,0
NATHALIA,165000,190500,178000,185000,232500,210000,229000,256000,265000,350000,370000,Regional Victoria,#N/A,#N/A,Regional Victoria,-1.51%,15.72%,39.62%,#N/A,#N/A,#N/A,#N/A
NEERIM SOUTH,340000,336500,280000,330000,320000,406500,413000,473500,530000,600000,665000,Regional Victoria,#N/A,#N/A,Regional Victoria,29.06%,28.33%,25.47%,#N/A,#N/A,#N/A,#N/A
NERRINA,455000,482500,522500,517500,570000,575000,617500,630000,580000,795000,685000,Regional Victoria,#N/A,#N/A,Regional Victoria,8.33%,-6.07%,18.10%,#N/A,#N/A,#N/A,#N/A
NEW GISBORNE,500000,510000,498000,545000,625000,757500,695000,720000,798500,875000,850000,Regional Victoria,#N/A,#N/A,Regional Victoria,11.20%,14.89%,6.45%,#N/A,#N/A,#N/A,#N/A
NEWBOROUGH,213000,215000,220000,224500,220000,250000,255000,290000,359000,437500,427000,Regional Victoria,#N/A,#N/A,Regional Victoria,15.91%,40.78%,18.94%,#N/A,#N/A,#N/A,#N/A
NEWCOMB,280000,292000,290500,310000,375000,453500,435000,476000,584000,605000,567500,Regional Victoria,#N/A,#N/A,Regional Victoria,16.00%,34.25%,-2.83%,#N/A,#N/A,#N/A,#N/A
NEWINGTON,320000,341000,345000,372500,422500,465000,490000,735000,720000,672500,664500,Regional Victoria,#N/A,#N/A,Regional Victoria,15.98%,46.94%,-7.71%,#N/A,#N/A,#N/A,#N/A
NEWLANDS ARM,320000,302000,332500,380000,380000,367500,443000,470000,550000,619500,675000,Regional Victoria,#N/A,#N/A,Regional Victoria,16.58%,24.15%,22.73%,#N/A,#N/A,#N/A,#N/A
NEWPORT,695000,740000,825000,950000,1080000,1059000,1055000,1090000,1286500,1280000,1275000,7,Sim,Não,Inner city,-2.31%,21.94%,-0.89%,Train only,1,0,0
NEWSTEAD,300000,297500,365000,362000,420000,318500,436000,470000,540000,625000,600000,Regional Victoria,#N/A,#N/A,Regional Victoria,3.81%,23.85%,11.11%,#N/A,#N/A,#N/A,#N/A
NEWTOWN (GREATER,570000,620000,642500,712500,780000,843000,832000,945000,1175000,1200000,1165000,Regional Victoria,#N/A,#N/A,Regional Victoria,6.67%,41.23%,-0.85%,#N/A,#N/A,#N/A,#N/A
NHILL,110000,125000,128000,140000,126500,149000,137000,158500,180000,210000,205000,Regional Victoria,#N/A,#N/A,Regional Victoria,8.30%,31.39%,13.89%,#N/A,#N/A,#N/A,#N/A
NICHOLS POINT,316500,304000,370000,396000,346000,470000,430000,475000,510000,661000,590000,Regional Victoria,#N/A,#N/A,Regional Victoria,24.28%,18.60%,15.69%,#N/A,#N/A,#N/A,#N/A
NIDDRIE,700000,747500,832500,910000,1100000,1070000,1070000,1000500,1246000,1305000,1189000,10,Não,Não,Inner city,-2.73%,16.45%,-4.57%,None,0,0,0
NOBLE PARK,400000,440000,510000,600000,680000,680000,625500,675000,751000,753500,732000,27,Sim,Não,Middle ring,-8.01%,20.06%,-2.53%,Train only,1,0,0
NOBLE PARK NORTH,383000,420000,491500,563000,640000,660000,610000,655500,750000,795000,737500,25,Não,Não,Middle ring,-4.69%,22.95%,-1.67%,None,0,0,0
NORLANE,202500,215000,216000,236500,290000,355000,350000,372000,450000,481500,455000,Regional Victoria,#N/A,#N/A,Regional Victoria,20.69%,28.57%,1.11%,#N/A,#N/A,#N/A,#N/A
NORTH BENDIGO,271000,280000,286000,279000,302000,310000,325000,374000,460500,513000,515000,Regional Victoria,#N/A,#N/A,Regional Victoria,7.62%,41.69%,11.83%,#N/A,#N/A,#N/A,#N/A
NORTH GEELONG,272500,301000,335000,338500,422000,495000,500000,550500,597500,675000,646500,Regional Victoria,#N/A,#N/A,Regional Victoria,18.48%,19.50%,8.20%,#N/A,#N/A,#N/A,#N/A
NORTH MELBOURNE,802500,832000,943000,1200000,1380000,1185000,1375000,1151500,1311500,1310000,1220000,2,Sim,Sim,Inner city,-0.36%,-4.62%,-6.98%,Train and Tram,1,1,1
NORTH WONTHAGGI,230000,268500,274500,259500,294000,369000,389000,419000,557500,665000,625000,Regional Victoria,#N/A,#N/A,Regional Victoria,32.31%,43.32%,12.11%,#N/A,#N/A,#N/A,#N/A
NORTHCOTE,820000,931500,1008500,1190000,1325000,1345000,1305000,1411000,1653000,1650000,1605000,5,Sim,Sim,Inner city,-1.51%,26.67%,-2.90%,Train and Tram,1,1,1
NOTTING HILL,566500,660000,780000,872500,993000,957500,880000,930000,1141000,1058000,1106000,18,Não,Não,Inner suburbs,-11.38%,29.66%,-3.07%,None,0,0,0
NUMURKAH,195000,215000,219000,195000,219000,225000,250000,239000,310000,350000,360000,Regional Victoria,#N/A,#N/A,Regional Victoria,14.16%,24.00%,16.13%,#N/A,#N/A,#N/A,#N/A
NUNAWADING,637500,721500,880000,970000,1090000,986000,951000,1038500,1250000,1146000,1189500,17,Sim,Não,Inner suburbs,-12.75%,31.44%,-4.84%,Train only,1,0,0
NYAH WEST,94000,107500,146500,130000,133500,136000,85000,129000,202500,215000,248000,Regional Victoria,#N/A,#N/A,Regional Victoria,-36.33%,138.24%,22.47%,#N/A,#N/A,#N/A,#N/A
OAK PARK,576500,626000,660000,822500,853500,878500,840000,911500,1150000,1140000,1065000,12,Sim,Não,Inner suburbs,-1.58%,36.90%,-7.39%,Train only,1,0,0
OAKLEIGH,753500,801500,1002000,1050000,1210000,1250000,1101000,1255000,1389000,1422000,1336500,14,Sim,Não,Inner suburbs,-9.01%,26.16%,-3.78%,Train only,1,0,0
OAKLEIGH EAST,672000,820000,990000,983000,1195000,992500,954500,995000,1187500,1155000,1150000,15,Não,Não,Inner suburbs,-20.13%,24.41%,-3.16%,None,0,0,0
OAKLEIGH SOUTH,603000,700000,830000,890000,1030000,960000,906500,983500,1129000,1053500,1130000,16,Não,Não,Inner suburbs,-11.99%,24.54%,0.09%,None,0,0,0
OCEAN GROVE,459000,515000,516500,555000,637000,691000,695000,790000,975500,1143500,982500,Regional Victoria,#N/A,#N/A,Regional Victoria,9.11%,40.36%,0.72%,#N/A,#N/A,#N/A,#N/A
OFFICER,346000,339000,375000,440000,480000,548000,540000,570000,650000,700000,725500,55,Sim,Não,Fringe,12.50%,20.37%,11.62%,Train only,1,0,0
OFFICER SOUTH,-,-,-,-,283000,569500,714000,770000,703000,850000,865000,Regional Victoria,#N/A,#N/A,Regional Victoria,152.30%,-1.54%,23.04%,#N/A,#N/A,#N/A,#N/A
OLINDA,496000,520000,553500,620000,705000,760000,746500,757500,1125000,905000,935000,40,Não,Não,Outer ring,5.89%,50.70%,-16.89%,None,0,0,0
OMEO,210000,190000,212500,150000,183000,183500,250000,238000,339000,385000,339000,Regional Victoria,#N/A,#N/A,Regional Victoria,36.61%,35.60%,0.00%,#N/A,#N/A,#N/A,#N/A
ORBOST,156000,150000,145000,162500,159000,165000,185500,220000,240000,344000,340000,Regional Victoria,#N/A,#N/A,Regional Victoria,16.67%,29.38%,41.67%,#N/A,#N/A,#N/A,#N/A
ORMOND,997500,1187500,1300000,1550000,1604500,1600000,1475000,1590000,1900000,1847500,1795000,12,Sim,Não,Inner suburbs,-8.07%,28.81%,-5.53%,Train only,1,0,0
OSBORNE,530000,540500,580000,640000,735000,757000,777500,850500,1112000,1127500,1030000,Regional Victoria,#N/A,#N/A,Regional Victoria,5.78%,43.02%,-7.37%,#N/A,#N/A,#N/A,#N/A
OUYEN,75000,77500,105500,130000,130000,93000,99000,121000,155500,170000,184500,Regional Victoria,#N/A,#N/A,Regional Victoria,-23.85%,57.07%,18.65%,#N/A,#N/A,#N/A,#N/A
PAKENHAM,335000,350000,367000,400000,470000,520000,485000,525000,600000,652000,640000,56,Sim,Não,Fringe,3.19%,23.71%,6.67%,Train only,1,0,0
PARADISE BEACH,163500,178000,188500,200000,180000,199000,200000,248000,321500,415000,372500,Regional Victoria,#N/A,#N/A,Regional Victoria,11.11%,60.75%,15.86%,#N/A,#N/A,#N/A,#N/A
PARK ORCHARDS,952500,1103000,1225000,1335000,1450000,1480000,1510000,1530000,1920000,1965000,1740000,24,Não,Não,Middle ring,4.14%,27.15%,-9.38%,None,0,0,0
PARKDALE,760000,860000,965000,1100000,1300000,1245000,1157500,1200500,1540500,1592500,1352000,23,Sim,Não,Middle ring,-10.96%,33.09%,-12.24%,Train only,1,0,0
PARKVILLE,1200000,1525000,1360500,2130000,2287500,2430000,1480000,1950000,2301500,1910000,2477000,2,Sim,Sim,Inner city,-35.30%,55.51%,7.63%,Train and Tram,1,1,1
PASCOE VALE,580000,655000,720000,805000,891000,901000,855000,947500,1050000,1110000,1025000,10,Sim,Não,Inner city,-4.04%,22.81%,-2.38%,Train only,1,0,0
PASCOE VALE SOUTH,650500,701000,745000,840000,975000,955000,950000,1006000,1299500,1157500,1140000,9,Não,Não,Inner city,-2.56%,36.79%,-12.27%,None,0,0,0
PATTERSON GARDENS,615000,672000,737500,813500,880000,890000,961000,960000,1160000,1300000,1265000,26,Sim,Não,Middle ring,9.20%,20.71%,9.05%,Train only,1,0,0
PATTERSON LAKES,647500,734000,785000,807500,1021500,1022500,923000,1082500,1300000,1470500,1361000,32,Não,Não,Outer ring,-9.64%,40.85%,4.69%,None,0,0,0
PAYNESVILLE,283000,305000,305000,309000,336500,351500,346000,397000,465000,565000,515000,Regional Victoria,#N/A,#N/A,Regional Victoria,2.82%,34.39%,10.75%,#N/A,#N/A,#N/A,#N/A
PEARCEDALE,385000,445000,470000,534000,607000,660000,660000,660000,790000,820000,850000,50,Não,Não,Fringe,8.73%,19.70%,7.59%,None,0,0,0
PENSHURST,144000,132500,191000,152000,125000,165000,165000,175000,194000,310000,286500,Regional Victoria,#N/A,#N/A,Regional Victoria,32.00%,17.58%,47.68%,#N/A,#N/A,#N/A,#N/A
PETERBOROUGH,287500,307500,296500,340000,315000,450000,419000,550000,625000,701000,690000,Regional Victoria,#N/A,#N/A,Regional Victoria,33.02%,49.16%,10.40%,#N/A,#N/A,#N/A,#N/A
PIONEER BAY,200000,220000,240000,216000,275000,308000,310000,355000,354000,491500,554000,Regional Victoria,#N/A,#N/A,Regional Victoria,12.73%,14.19%,56.50%,#N/A,#N/A,#N/A,#N/A
PLENTY,773000,750000,915500,935000,1145000,1350000,1301000,1202500,1605000,1543000,1760000,22,Não,Não,Middle ring,13.62%,23.37%,9.66%,None,0,0,0
POINT COOK,450000,445000,465000,505000,590000,630000,635000,664000,739000,780000,770500,24,Não,Não,Middle ring,7.63%,16.38%,4.26%,None,0,0,0
POINT LONSDALE,700000,707500,655000,641000,780000,840000,827500,880000,1300000,1505000,1351500,Regional Victoria,#N/A,#N/A,Regional Victoria,6.09%,57.10%,3.96%,#N/A,#N/A,#N/A,#N/A
POREPUNKAH,347000,285000,323000,330000,447000,464500,530000,615000,757500,1035000,940000,Regional Victoria,#N/A,#N/A,Regional Victoria,18.57%,42.92%,24.09%,#N/A,#N/A,#N/A,#N/A
PORT ALBERT,262500,190000,197500,218500,270000,240000,250000,315000,425000,485000,562500,Regional Victoria,#N/A,#N/A,Regional Victoria,-7.41%,70.00%,32.35%,#N/A,#N/A,#N/A,#N/A
PORT FAIRY,400000,425000,447500,473500,500000,651000,620000,670000,950000,1140000,950000,Regional Victoria,#N/A,#N/A,Regional Victoria,24.00%,53.23%,0.00%,#N/A,#N/A,#N/A,#N/A
PORT MELBOURNE,995000,917500,1252500,1380000,1485000,1488000,1400000,1600000,1802500,1646000,1745000,3,Não,Sim,Inner city,-5.72%,28.75%,-3.19%,Tram only,0,1,0
PORTARLINGTON,390000,414500,409000,460000,515000,640000,625000,690000,829500,985000,925000,Regional Victoria,#N/A,#N/A,Regional Victoria,21.36%,32.72%,11.51%,#N/A,#N/A,#N/A,#N/A
PORTLAND,235000,210000,220000,220000,230000,234500,266000,295000,370000,450000,437500,Regional Victoria,#N/A,#N/A,Regional Victoria,15.65%,39.10%,18.24%,#N/A,#N/A,#N/A,#N/A
PORTLAND NORTH,300000,248000,330000,340000,360000,367500,276000,507000,470000,667500,750000,Regional Victoria,#N/A,#N/A,Regional Victoria,-23.33%,70.29%,59.57%,#N/A,#N/A,#N/A,#N/A
PORTSEA,1195000,1305000,1800000,1701000,1925000,2180000,1950000,2530000,3765000,3825000,3102500,Regional Victoria,#N/A,#N/A,Regional Victoria,1.30%,93.08%,-17.60%,#N/A,#N/A,#N/A,#N/A
PRAHRAN,990000,1175000,1350000,1430000,1525000,1578000,1520000,1643500,1831000,1840000,1750000,4,Sim,Sim,Inner city,-0.33%,20.46%,-4.42%,Train and Tram,1,1,1
PRESTON,632500,690000,791000,882000,996000,980000,940000,1026000,1251000,1160000,1150000,9,Sim,Sim,Inner city,-5.62%,33.09%,-8.07%,Train and Tram,1,1,1
PRINCES HILL,1216500,1210000,1280000,1555000,1767500,1650000,2035000,1600000,2015000,1892500,1620000,3,Não,Sim,Inner city,15.13%,-0.98%,-19.60%,Tram only,0,1,0
PYRAMID HILL,112500,117000,112500,112500,112500,100000,120000,117500,128000,230000,202500,Regional Victoria,#N/A,#N/A,Regional Victoria,6.67%,6.67%,58.20%,#N/A,#N/A,#N/A,#N/A
QUAMBATOOK,134000,79000,66500,105000,135000,93500,90500,110000,150000,157000,125000,Regional Victoria,#N/A,#N/A,Regional Victoria,-32.96%,65.75%,-16.67%,#N/A,#N/A,#N/A,#N/A
QUARRY HILL,385000,355000,377500,349000,362000,407500,395000,430000,540500,613500,596000,Regional Victoria,#N/A,#N/A,Regional Victoria,9.12%,36.84%,10.27%,#N/A,#N/A,#N/A,#N/A
QUEENSCLIFF,630000,695000,700000,795000,763000,950000,950000,969000,1372000,1725000,1687500,Regional Victoria,#N/A,#N/A,Regional Victoria,24.51%,44.42%,23.00%,#N/A,#N/A,#N/A,#N/A
RAINBOW,62000,77000,68000,59500,82500,99000,75000,82000,112000,137000,175000,Regional Victoria,#N/A,#N/A,Regional Victoria,-9.09%,49.33%,56.25%,#N/A,#N/A,#N/A,#N/A
RAYMOND ISLAND,297500,280000,285000,330000,289500,360000,300000,416500,450000,535000,540000,Regional Victoria,#N/A,#N/A,Regional Victoria,3.63%,50.00%,20.00%,#N/A,#N/A,#N/A,#N/A
RED CLIFFS,163000,151500,175000,165000,223500,211500,217500,270000,311000,325000,335000,Regional Victoria,#N/A,#N/A,Regional Victoria,-2.68%,42.99%,7.72%,#N/A,#N/A,#N/A,#N/A
