Locality,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,Dist,Train,Tram,Group,Pré,Pan,Pós,Transport,Train,Tram,Bouth
BLACKBURN SOUTH,697500,780000,920500,1050000,1200000,1063500,1034000,1100500,1338500,1288000,1350000,16,Não,Não,Inner suburbs,-13.83%,29.45%,0.86%,None,0,0,0
BLAIRGOWRIE,609000,627500,621500,770000,883000,990500,921500,1143500,1562500,1725000,1657500,Regional Victoria,#N/A,#N/A,Regional Victoria,4.36%,69.56%,6.08%,#N/A,#N/A,#N/A,#N/A
BLIND BIGHT,362500,343000,401000,440000,514000,546000,552500,570000,668500,705000,806000,53,Não,Não,Fringe,7.49%,21.00%,20.57%,None,0,0,0
BONBEACH,580000,635000,700000,778000,882500,910000,855000,930000,1115000,1177500,1105000,30,Sim,Não,Middle ring,-3.12%,30.41%,-0.90%,Train only,1,0,0
BONNIE BROOK,-,-,-,-,-,-,-,307000,492500,645000,671500,38,Não,Não,Outer ring,#VALUE!,#VALUE!,36.35%,None,0,0,0
BONNIE DOON,250000,275000,290000,290000,315000,417500,410000,372500,565000,670000,630000,Regional Victoria,#N/A,#N/A,Regional Victoria,30.16%,37.80%,11.50%,#N/A,#N/A,#N/A,#N/A
BONSHAW,-,309000,309000,322500,235000,400000,379000,435000,525000,565000,560000,Regional Victoria,#N/A,#N/A,Regional Victoria,61.28%,38.52%,6.67%,#N/A,#N/A,#N/A,#N/A
BOOLARRA,196500,260000,212500,202500,255000,250000,247500,255000,355000,362500,450000,Regional Victoria,#N/A,#N/A,Regional Victoria,-2.94%,43.43%,26.76%,#N/A,#N/A,#N/A,#N/A
BOORT,157500,162500,130000,200500,215000,180000,185000,165000,240000,227500,270000,Regional Victoria,#N/A,#N/A,Regional Victoria,-13.95%,29.73%,12.50%,#N/A,#N/A,#N/A,#N/A
BORONIA,459500,500500,592500,648500,735000,742500,680000,715000,845000,830000,855000,28,Sim,Não,Middle ring,-7.48%,24.26%,1.18%,Train only,1,0,0
BOTANIC RIDGE,492000,519000,565000,600000,690000,730000,700000,727000,847000,920000,872500,44,Não,Não,Fringe,1.45%,21.00%,3.01%,None,0,0,0
BOX HILL,855000,1067000,1350000,1360500,1752500,1700500,1545000,1512500,1630500,1726000,1680000,14,Sim,Sim,Inner suburbs,-11.84%,5.53%,3.04%,Train and Tram,1,1,1
BOX HILL NORTH,746000,857500,1060000,1146000,1321000,1188000,1200000,1191500,1321000,1320000,1333000,14,Não,Não,Inner suburbs,-9.16%,10.08%,0.91%,None,0,0,0
BOX HILL SOUTH,785000,910000,1153000,1255000,1409000,1285500,1177500,1252500,1560000,1440000,1500000,15,Não,Não,Inner suburbs,-16.43%,32.48%,-3.85%,None,0,0,0
